dataset,basin_id,n,ac1,nse_tfm,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_gbt_shuf,wet_dry
CAMELS-US,14158790,1314,0.8274678576642022,0.6152072,0.6566778,0.6469890475273132,0.0933125764131546,0.44205581791531245,0.1987275303293734,0.09188722248181314,-0.11193677339133012,6.9335675039415685
CAMELS-US,14166500,1314,0.8751290951041746,0.6791569,0.7404617,0.5475751161575317,0.056076448410749435,0.18365214143581277,0.2666524862272056,0.15119431950347784,-0.3330857525337463,9.764796660206564
CAMELS-US,14182500,1241,0.7678932456701564,0.5514289,0.5358101,0.5936232209205627,0.07334696501493454,0.31288343261376383,0.17661064269923332,0.058789998838393864,-0.2393756264682947,8.093357656989518
CAMELS-US,14185000,1314,0.7831131544336319,0.5857305,0.5942703,0.6071549654006958,0.07018722593784332,0.5911970927141683,0.383313435006011,0.3474642550674528,-0.11205761223395094,8.650505234932385
CAMELS-US,14185900,1314,0.7911837623629089,0.55865026,0.5697912,0.6882996559143066,0.07290700823068619,0.44999074163539754,0.3614639079039592,0.2816151360421121,-0.08127653411830527,9.440788651434538
CAMELS-US,14187000,1314,0.846382203356383,0.6579334,0.68607044,0.5909201502799988,0.07376794517040253,0.6133475541049616,0.44932211078742335,0.45785512731894706,-0.10018625494819045,8.010527457623832
CAMELS-US,14216500,1222,0.9335608829364864,0.852355,0.86610955,0.2483835518360138,0.06228789687156677,0.13365283619926005,0.056135698232921416,0.22321903418220634,-0.18020972862762985,3.9876695844806425
CAMELS-US,14222500,1314,0.858607883850037,0.71983325,0.7310536,0.424295574426651,0.0655052661895752,0.5409930534242089,0.48644582046050244,0.5023538723928229,-0.07757756106609559,6.477274257595114
CAMELS-US,14236200,1244,0.8723584961992084,0.7344024,0.7493775,0.4032851755619049,0.07560374587774277,0.43359690792070404,0.27816813066899193,0.23472944198563706,-0.18603357444673962,5.334195692023632
CAMELS-US,14301000,1229,0.9255156702590137,0.8150127,0.8439796,0.4026275873184204,0.05507974326610565,0.2582610773408339,0.38888287840714064,0.5423390116084714,-0.21340731100656174,7.309903123063117
CAMELS-US,14303200,1228,0.8610901469270682,0.68329805,0.6939838,0.5678499937057495,0.06432458758354187,0.18436206758897633,0.24214698076036145,0.265256225657279,-0.5042957387283273,8.82788394046447
CAMELS-US,14305500,1314,0.8225423098531965,0.626861,0.62650406,0.4985813498497009,0.05792146921157837,0.4789479418756051,0.514881864304499,0.5418165105423085,-0.3600535181158928,8.60788506638978
CAMELS-US,14306340,1242,0.8040132933589411,0.5735339,0.6020793,0.7743008136749268,0.06967367976903915,0.49838431256879256,0.5524605376710036,0.4642510963080698,-0.24533896866847438,11.113247014391256
CAMELS-US,14306500,1314,0.8759384065561436,0.7052436,0.74484193,0.46002113819122314,0.04665364325046539,0.48052938838501846,0.58731005051901,0.48946443261173067,-0.18203695615234738,9.860347577177356
CAMELS-US,14308990,1314,0.7640628905090673,0.53302586,0.4970522,0.7570818662643433,0.05445190146565437,-0.09785787301987159,-0.24406536704470327,0.06934408977259698,-0.6314672307539939,13.9036809713959
CAMELS-US,14309500,1314,0.7824729427965972,0.5644805,0.52877724,0.8540716767311096,0.06161803379654884,0.20320093689950158,0.12702771037171479,0.13872038979712142,-0.8576846927036561,13.860742125448105
CAMELS-US,14316700,1314,0.7984233295653506,0.5588269,0.58132964,0.7109811305999756,0.06983017176389694,0.6368399774632423,0.500059417222162,0.4456154630760335,-0.021618874642105546,10.181574993168807
CAMELS-US,14325000,1314,0.7909927066718019,0.56796765,0.553341,0.7746773958206177,0.055242907255887985,0.3110298808791493,0.5302725639263256,0.3736402932851062,-0.40951101804105705,14.023110554849552
CAMELS-US,14362250,1314,0.8883931080188409,0.7729549,0.7495211,0.6460250616073608,0.07385474443435669,-2.954396473726199,-4.455611585178343,-2.9969959251330844,-3.6872040406319044,8.747238468634315
CAMELS-US,14400000,1314,0.8235791097958847,0.6372926,0.6284399,0.7698396444320679,0.05785951018333435,0.6149272938790038,0.5761286455031067,0.5875294645135485,-0.19857046095431707,13.305325986907677
CAMELS-AUS,003303A,1314,0.7322306080176891,0.42895395,0.50962925,2.174004077911377,0.7883724570274353,0.07174060314995978,0.16250701356717612,0.08129080155737622,-0.11917559760037122,2.757585020294185
CAMELS-AUS,102101A,1162,0.6751799214471472,0.47440964,0.49927974,1.3265247344970703,0.06565819680690765,0.2798081155888249,0.17277176965376428,0.044779157799092695,-0.23351410159416885,20.2034901810997
CAMELS-AUS,104001A,1312,0.8122350186203455,0.5282562,0.5142646,1.977005124092102,0.09657992422580719,0.31674322457079007,0.22255567314978453,0.11577472799029154,-0.04049247740671458,20.47014573618629
CAMELS-AUS,105101A,1313,0.8358289507297875,0.5635696,0.6656518,1.1139099597930908,0.08892443776130676,-0.934154889562979,-0.6017891459860403,-1.033904211274693,-1.2433499439862676,12.52647739851981
CAMELS-AUS,105102A,1189,0.4936207084619618,0.17120397,-0.16333282,3.25897479057312,0.13159509003162384,0.34504380774688936,0.20069236860749984,0.21876299902419083,-0.10697500237503843,24.76517011227357
CAMELS-AUS,105105A,1314,0.7478665600504774,0.48424852,0.5012083,1.2560545206069946,0.08669188618659973,-0.6583975036738661,-0.27607589644358677,-0.34816611835575895,-1.1145457781493295,14.488720638785079
CAMELS-AUS,107001B,1312,0.7704710470559195,0.35363233,0.23135889,1.3723090887069702,0.08137897402048111,0.4105980949783803,0.15005235823165408,0.12014194541555567,-0.016374534722723766,16.86318985001695
CAMELS-AUS,108002A,1314,0.712550838198488,0.43580365,0.457278,0.9176284670829773,0.053545430302619934,-3.195650809185979,-4.143473554625203,-2.8846688145642347,-6.317538415958867,17.13738150756963
CAMELS-AUS,108003A,1314,0.7603681888115006,0.57175136,0.51759374,0.6175798177719116,0.0701952874660492,0.23262316613623113,0.38053340096580723,0.24015364168066178,-0.12996362673752326,8.798023913935983
CAMELS-AUS,111005A,1313,0.7583159101278893,0.5881944,0.62318707,0.475627601146698,0.04163527116179466,0.6907945761762926,0.4914591865421776,0.4275232995861933,-0.000902932010638624,11.423670072867045
CAMELS-AUS,111007A,1314,0.7054139018992899,0.5287244,0.5789399,0.5771250128746033,0.048707373440265656,0.6721816633448039,0.47095024659328943,0.3066982031635742,-0.06085055488721269,11.848822305772346
CAMELS-AUS,112002A,1314,0.709291138119827,0.45656276,0.29450297,0.5189470052719116,0.04058779776096344,0.6126983500980141,0.5202375866870561,0.4151498751285534,-0.018653477948583408,12.785788682800248
CAMELS-AUS,112101B,1314,0.7232439368703124,0.68842435,0.64346206,0.31970226764678955,0.042359404265880585,0.5618907251151286,0.5071581651422928,0.39338105473615725,-0.08260801089395597,7.547374029155116
CAMELS-AUS,112102A,1314,0.8165229987762397,0.6307381,0.6070801,0.4620935618877411,0.05055209621787071,0.5455302435803375,0.4001667452868556,0.3253830110536883,0.023914787728164244,9.14093769516893
CAMELS-AUS,113004A,1313,0.786632262107324,0.7118002,0.7072396,0.40348878502845764,0.057396452873945236,0.5977458781957223,0.5498246964502622,0.4403110569938188,-0.1312566640249957,7.029855763292628
CAMELS-AUS,114001A,1314,0.698003946566244,0.5619538,0.5465145,0.7384040951728821,0.05170910805463791,0.48220552435632524,0.37285754961364115,0.25102812279670195,-0.017534211711838887,14.279961943893033
CAMELS-AUS,116006B,1314,0.8719395565710787,0.71432096,0.7821935,0.7607603073120117,0.08756395429372787,0.3882486459361316,0.2852996151646985,0.1408311934834381,-0.008699037705675261,8.688053359948642
CAMELS-AUS,116010A,1314,0.7513153935290401,0.55397403,0.5340587,0.9456753730773926,0.0910252034664154,0.5720615745311077,0.56246120681488,0.3349591989756824,-0.05020204370705006,10.389159672972424
CAMELS-AUS,116011A,1314,0.6036608003240033,0.6378507,0.5397225,0.4861810505390167,0.057879604399204254,0.3121310005170581,0.23975226875791933,0.08474634230135636,-0.13673168237380406,8.399868236585613
CAMELS-AUS,116012A,1313,0.6184725064672658,0.20982605,0.105855644,1.4973578453063965,0.14035065472126007,0.28415649079700567,0.24880395468617922,0.15235170041942325,-0.0533467244425041,10.668691558868655
CAMELS-AUS,116013A,1314,0.6926401428441893,0.6133816,0.56952024,0.7272477149963379,0.06786889582872391,0.35624835634448493,0.3498057836200352,0.3113832415932597,-0.09686637692712208,10.715478808313653
CAMELS-AUS,116014A,1314,0.7344369811643705,0.6155849,0.6495007,1.266676664352417,0.10636372119188309,0.3664147644381447,0.34362031486031763,0.17728006309544797,-0.03978375883517238,11.908916406443673
CAMELS-AUS,116015A,1313,0.7091180495480318,0.62624216,0.5937953,0.6223469376564026,0.12731942534446716,0.3066671290284515,0.34186930023611994,-0.01017904134426395,-0.07969881669909906,4.8880752954438895
CAMELS-AUS,117002A,1314,0.7068814205593531,0.50048596,0.73161566,2.3255984783172607,0.09984929114580154,0.5114952115854383,-0.11331254741601748,-0.02199291597801234,-0.7352451881145048,23.2910865127864
CAMELS-AUS,117003A,1314,0.8171861784341264,0.64707077,0.67637396,1.8031190633773804,0.09567569196224213,-0.116158452198583,-0.8361173764658731,-0.018304126242964402,-1.4562611031724302,18.846156493845598
CAMELS-AUS,118106A,1314,0.8645172396945713,0.64818525,0.7826632,2.1324501037597656,0.06406889110803604,-6.445501925296157,-4.18349859032857,-1.071504589933987,-9.10388509574907,33.283705506373224
