dataset,basin_id,model,NSE,RMSE,tail_RMSE_95,tail_RMSE_99,sigma_obs,mean_obs,sigma_rel_spread,rel_tail95_sigma,rel_tail99_sigma,rel_tail95_mean,rel_tail99_mean
CAMELS-BR,56152000,timesfm,0.0317938018676259,0.2446985653135468,1.0344440579407743,1.811556931625468,0.24868379933301352,0.11705100736089451,1.116099065965343e-16,4.159676105621766,7.284579600618071,8.83754938350382,15.476645374268601
CAMELS-BR,56155000,timesfm,-0.3985303420697554,2.028658061730888,5.951856680052364,13.068263766890963,1.7154296196630197,0.6517960418874768,2.5887929458586583e-16,3.4696012076680542,7.6180704921360185,9.131471039340658,20.04962124201885
CAMELS-BR,56158000,timesfm,0.2021436917118027,0.8437241866669773,3.577616908167409,6.394101495986658,0.9445787202443281,0.6919316810763588,2.350726309688582e-16,3.7875264723749122,6.769262697695261,5.170477094793695,9.240943392041375
CAMELS-BR,56160000,timesfm,0.416030543306599,1.8806988534190068,7.509884792780695,14.72488858292854,2.461071285748966,2.086816327314021,3.608909765609777e-16,3.051469836029251,5.983121524432961,3.598728213156547,7.056149786733368
CAMELS-BR,56170000,timesfm,0.314931968144955,3.6906400018706087,14.974187875697227,30.429227664331936,4.458972907851419,3.5316809461702148,3.983780292256133e-16,3.35821459003047,6.824268344566917,4.2399605468142205,8.616074930927622
CAMELS-BR,56182000,timesfm,0.1948449592704362,0.5613416141851733,1.007012564631857,1.4001941612535256,0.6255866625815387,0.5659484174109108,3.549382015414852e-16,1.6097091336255964,2.2382097397593173,1.7793363028360736,2.4740667491555235
CAMELS-BR,56185000,timesfm,0.8457197482869445,0.1647695399735949,0.4718589115771688,0.8657026322776364,0.41949014240376004,0.4765195298141358,3.969901479436547e-16,1.1248390936514636,2.0637019676242976,0.9902194601787153,1.8167201512502533
CAMELS-BR,56195000,timesfm,0.5420704326192085,6.24918331218908,21.16529276045832,28.967514235059017,9.234724028725283,7.976071225415248,0.0,2.291924771614412,3.136803454543249,2.653598765895727,3.631802351859128
CAMELS-BR,56240000,timesfm,0.5590252571286443,18.2247862148426,76.18697676129821,164.6885786629615,27.44451654104013,25.211689239592463,1.2945076563793078e-16,2.77603639500697,6.000782648755667,3.021890998150735,6.53223102577095
CAMELS-BR,56335000,timesfm,0.2757398072056455,13.04456796756346,53.82856075282789,98.059788946755,15.327890598504968,23.290547385889223,2.317809913874921e-16,3.5118048636175776,6.397474480690737,2.311176283707286,4.210282709206112
CAMELS-BR,56335001,timesfm,0.4765734773635577,40.59000968839213,171.15689950233588,331.79395211446484,56.10367271935919,48.5723859254504,0.0,3.050725401855489,5.913943526908813,3.5237490652616894,6.830917316347338
CAMELS-BR,56336001,timesfm,0.7220032370190976,2.271668279772132,7.670561507178714,12.51814039800992,4.30848955421242,6.466630321251009,2.06146123490482e-16,1.780336568224748,2.905459150010218,1.1861759720470302,1.9358057869601877
CAMELS-BR,56337000,timesfm,0.7024377556805195,6.473686503494241,26.135793177363976,55.62505081584848,11.867595944374319,12.31282667718354,1.4968127055609013e-16,2.2022820207114746,4.687137232896509,2.122647695983188,4.517650761617986
