dataset,basin_id,n,ac1,nse_model,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_lin_shuf,gain_gbt_shuf,rho_absres_P,model,wet_dry
CAMELS-AUS,616013,414,0.9276446657541472,0.7687648,0.8551221,0.37673088908195496,0.06286969780921936,0.04312504178516385,0.02790889933470575,0.009644126473279946,0.006204866748313109,-0.000695202285463381,0.3163905129004112,timesfm,5.992249083575366
CAMELS-AUS,616019,438,0.9825090321119316,0.9412774,0.9756041,0.5778440237045288,0.042639464139938354,0.16728083517645143,0.3911931773764291,0.24764386411329176,-0.012969804949200858,-0.16844194060552797,0.3550417880420342,timesfm,13.55185941849794
CAMELS-AUS,616041,438,0.8658934620274235,0.7162688,0.7525708,0.9584539532661438,0.11361169070005417,0.22248328024097086,0.12690868670854216,0.02599730574083914,0.0011998950327029023,-0.34910302816101724,0.2865343578990332,timesfm,8.43622647775355
CAMELS-AUS,616065,438,0.9442842396059192,0.81323236,0.901303,1.0606178045272827,0.30386975407600403,0.2661067420367206,-0.030877091598999984,0.08247006606300311,-0.03985341410696619,-0.06177783505971601,0.39749126457300865,timesfm,3.4903697729060608
CAMELS-AUS,616178,430,0.8026654916324454,0.57055664,0.6079704,1.5351190567016602,0.1485433429479599,-0.3629315969138227,-0.05777350203831033,-0.3145158311150058,-0.0044404517503013885,-0.3881616057930024,0.33339878672834905,timesfm,10.334485721379435
CAMELS-AUS,616216,438,0.8634204832421207,0.58924836,0.6925838,1.4707781076431274,0.40173694491386414,0.10800496430796425,0.18217361272375965,0.09071158064131546,0.014114164275125796,-0.025695737297822374,0.3313651320737301,timesfm,3.6610476737669098
CAMELS-AUS,617002,438,0.7019759778580991,0.26002073,0.43637413,3.017319679260254,0.22446246445178986,-0.2565908556170191,0.008482646852235987,-0.14709284958291313,0.04005049262775928,-0.07498240945385803,0.41870281305546725,timesfm,13.442424267369278
CAMELS-AUS,617003,438,0.9613078756442539,0.9063281,0.94012403,0.4225817024707794,0.09162706881761551,0.24954347955731393,0.3579134353914518,0.1295198820622807,-0.021172702900895457,-0.03299391354876424,0.3020647531006585,timesfm,4.611974473525199
CAMELS-AUS,701002,438,0.44505159881926276,0.76639456,-0.41221976,0.12218381464481354,0.12712249159812927,-0.05626940084624388,-0.004585813333714439,0.0004952424033540792,0.002578418757178791,-0.0010682267771302545,0.1350822321692845,timesfm,0.9611502505085543
CAMELS-AUS,701007,438,0.8409980498639996,0.35292965,0.49934012,1.5119271278381348,0.6944569945335388,-4.878496780746006,-0.010162229229135233,-1.1035923763518842,0.1303943873703548,-0.14160038352882087,0.28378704090281004,timesfm,2.1771357186108897
